idrss_entries,title,public_date,category,provider,number_of_articles
"5753","'Dead' shows little sign of life","Fri Mar 08 00:07:53 EST 2013","Entertainment","Boston Herald","66"
"5760","Wizard of Oz prequel 'a risk' for Franco and Braff","Fri Mar 08 00:44:05 EST 2013","Entertainment","BBC News","492"
"5769","VIDEO: Trailer - Colin Farrell and More in DEAD MAN DOWN, Released Today","Fri Mar 08 00:37:34 EST 2013","Entertainment","Broadway World","68"
"5786","Sam Raimi re-builds Oz for a 3D audience","Fri Mar 08 01:13:28 EST 2013","Entertainment","BBC News","480"
"5787","'American Idol' Top 10 Finalists Revealed","Fri Mar 08 01:10:03 EST 2013","Entertainment","TVbytheNumbers","442"
"5793","New Proposal to Merge Art Museums in Los Angeles","Thu Mar 07 23:47:21 EST 2013","Entertainment","New York Times","14"
"5830","Justin Bieber treated by doctors after O2 Arena concert","Fri Mar 08 02:02:53 EST 2013","Entertainment","BBC News","316"
"5837","'Hangover 3' Movie Trailer: The Wolfpack is Back, and is Ready to Burn Las ...","Thu Mar 07 22:46:25 EST 2013","Entertainment","Gossip On This (blog)","176"
"5838","George Lucas confirms the return of Han Solo, Princess Leia and Luke ...","Fri Mar 08 01:25:25 EST 2013","Entertainment","TheCelebrityCafe.com","310"
"5848","George Lucas Says Harrison Ford, Carrie Fisher & Mark Hamill Are Signed Up ...","Fri Mar 08 01:03:58 EST 2013","Entertainment","E! Online","310"
"5859","Oz the Great And Powerful (2013)","Fri Mar 08 02:23:57 EST 2013","Entertainment","Entertainment Weekly","504"
"5884","Justin Bieber 'woozy' at London concert, checked at hospital","Fri Mar 08 02:45:48 EST 2013","Entertainment","CNN","324"
"5910","Fans react to Justin Bieber collapsing on stage at gig","Fri Mar 08 03:04:59 EST 2013","Entertainment","BBC News","333"
"5911","Doctor orders pregnant Kardashian to rest","Fri Mar 08 02:33:37 EST 2013","Entertainment","Irish Examiner","361"
"5912","James Royal: Lucas says Harrison Ford, Carrie Fisher, Mark Hamill were locked ...","Fri Mar 08 02:54:56 EST 2013","Entertainment","Tulsa World","313"
"5913","In their divorce, Demi hopes Ashton's a good support","Fri Mar 08 03:03:30 EST 2013","Entertainment","Philadelphia Inquirer","135"
"5914","Joy Behar Leaving The View After 16 Years","Fri Mar 08 03:05:27 EST 2013","Entertainment","E! Online","57"
"5919","'wake-up call'","Fri Mar 08 01:00:16 EST 2013","Entertainment","New York Post","349"
"5929","Tv - Kelly Osbourne Speaks Out About Seizure","Fri Mar 08 03:18:27 EST 2013","Entertainment","Contactmusic.com","142"
"5932","Franco-ly speaking, 'Oz' isn't powerful","Fri Mar 08 03:12:21 EST 2013","Entertainment","Philadelphia Inquirer","486"
"5969","Kendrick Lamar Crowned 'Hottest MC' By MTV","Fri Mar 08 03:52:22 EST 2013","Entertainment","BallerStatus.com","175"
"5972","PHOTOS: Kelly Osbourne Rushed To Hospital Following Seizure On Set Of TV ...","Fri Mar 08 04:02:52 EST 2013","Entertainment","Entertainmentwise","149"
"5985","Friday Flicks: Take a Walk Down the Yellow Brick Road with 'Oz: The Great And ...","Fri Mar 08 04:00:59 EST 2013","Entertainment","TIME","537"
"6013","Is SXSW still magic for start-ups?","Thu Mar 07 17:11:33 EST 2013","Entertainment","USA TODAY","136"
"6018","American Idol Top 10 Finalists Revealed","Fri Mar 08 04:34:23 EST 2013","Entertainment","MTV UK","444"
"6022","Kim Kardashian Is Fine Despite Miscarriage Scare","Thu Mar 07 22:35:16 EST 2013","Entertainment","AceShowbiz","355"
"6027","Review: Oz the Great and Powerful","Fri Mar 08 04:34:36 EST 2013","Entertainment","Seattle Post Intelligencer (blog)","517"
"6037","Demi Moore: You Were A Crappy Husband, and Now You'll Pay","Fri Mar 08 03:51:24 EST 2013","Entertainment","TMZ.com","139"
"6045","Kelly Osbourne - Fashion Police Host Kelly Osbourne Rushed To Hospital after ...","Fri Mar 08 05:06:06 EST 2013","Entertainment","Contactmusic.com","156"
"6050","Lucas has asked original 'Star Wars' cast to return to franchise","Fri Mar 08 03:56:12 EST 2013","Entertainment","Irish Examiner","314"
"6051","Kelly Osbourne takes to Twitter to say doctors are 'trying to figure out why' she ...","Fri Mar 08 05:11:41 EST 2013","Entertainment","Mirror.co.uk","158"
"6055","Ford, Fisher and Hamill 'pretty much signed' to new 'Star Wars', says George Lucas","Fri Mar 08 04:51:31 EST 2013","Entertainment","NME.com","314"
"6069","Kelly Osbourne hospitalised after 'seizure' on TV set","Fri Mar 08 05:34:33 EST 2013","Entertainment","BBC News","158"
"6074","Will 'Oz' be great and powerful at the box office?","Fri Mar 08 05:37:11 EST 2013","Entertainment","Chicago Tribune","517"
"6078","'There Will Be No Wildcards Contestants': American Idol Host Ryan Seacrest ...","Fri Mar 08 05:41:33 EST 2013","Entertainment","Entertainmentwise","446"
"6084","Bieber concert is a go for Friday after he fainted","Fri Mar 08 06:00:00 EST 2013","Entertainment","The Associated Press","374"
"6087","Kim Kardashian In Hospital Dash After Feeling Ill On Plane","Fri Mar 08 05:51:40 EST 2013","Entertainment","MTV UK","361"
"6093","Bieber Concert Is A Go For Friday After He Fainted","Fri Mar 08 05:58:51 EST 2013","Entertainment","NPR","373"
"6094","Kim Kardashian 'Resting' After Pregnancy Scare, Kris Humphries 'Divorce ...","Fri Mar 08 05:06:00 EST 2013","Entertainment","Entertainmentwise","361"
"6117","Did George Lucas Confirm 'Star Wars' Vets Will Return for New Film?","Fri Mar 08 04:49:12 EST 2013","Entertainment","610kvnu","315"
"6122","A rough few days for Chris Brown","Fri Mar 08 00:12:50 EST 2013","Entertainment","Newsday","160"
"6130","Miami-Dade woman kicked off Metrorail for singing","Fri Mar 08 06:01:00 EST 2013","Entertainment","Huffington Post","14"
"6131","Justin Bieber due to perform despite collapse: venue","Fri Mar 08 06:41:02 EST 2013","Entertainment","Reuters","383"
"6146","The View's Joy Behar To Leave After 17 years","Fri Mar 08 06:44:41 EST 2013","Entertainment","Entertainmentwise","61"
"6147","Kendrick Lamar Tops MTV's Hottest MCs List","Fri Mar 08 03:15:41 EST 2013","Entertainment","AceShowbiz","176"
"6148","Elderly woman thrown off train for singing","Fri Mar 08 06:43:54 EST 2013","Entertainment","WDBO Radio","-1"
"6158","Kendrick Lamar Calls MTV's 'Hottest MCs' List 'Important For Hip Hop'","Thu Mar 07 19:43:27 EST 2013","Entertainment","HipHopDX","176"
"6159","Star Wars: George Lucas hints at cast 'reunion'","Fri Mar 08 06:46:05 EST 2013","Entertainment","BBC News","345"
"6166","'Oz The Great And Powerful': The Reviews Are In!","Fri Mar 08 06:53:13 EST 2013","Entertainment","MTV.com","534"
"6180","10 Reasons Everything Old Is New Again at SXSW","Fri Mar 08 07:05:34 EST 2013","Entertainment","Wired","154"
"6181","Demi Moore Files For Divorce From Ashton Kutcher","Fri Mar 08 06:57:29 EST 2013","Entertainment","MTV UK","144"
"6182","VIDEO: Watch the Trailer for The Hangover Part III","Thu Mar 07 16:45:16 EST 2013","Entertainment","Seattle Post Intelligencer","198"
"6189","Kelly Osbourne rushed to hospital after suffering seizure, tweets photo from inside","Fri Mar 08 07:24:39 EST 2013","Entertainment","New York Daily News","166"
"6202","Kelly Osbourne rushed to hospital after suffering seizure, Tweets photo from inside","Fri Mar 08 07:24:39 EST 2013","Entertainment","New York Daily News","167"
"6211","Joy Behar Leaving The View","Fri Mar 08 07:29:56 EST 2013","Entertainment","People Magazine","65"
"6218","PASSINGS: Claude King","Fri Mar 08 00:26:08 EST 2013","Entertainment","Los Angeles Times","21"
"6226","Bieber 'under the weather', but expects to perform","Fri Mar 08 07:43:02 EST 2013","Entertainment","Reuters","409"
"6234","American Idol Chooses It's Top 10: But Are Any Of Them Good Enough?","Fri Mar 08 07:47:39 EST 2013","Entertainment","Contactmusic.com","448"
"6239","Trailer Park: Of Course There Is Going To Be A Hangover Part III","Fri Mar 08 07:01:52 EST 2013","Entertainment","Houston Press (blog)","201"
"6246","Review: 'Oz the Great and Powerful' is more than good enough","Fri Mar 08 07:54:44 EST 2013","Entertainment","CNN International","572"
"6268","Lucas Says Han Solo, Luke And Leia Locked For 'Star Wars VII,' Maybe","Fri Mar 08 08:08:59 EST 2013","Entertainment","MTV.com","350"
"6269","Teaser trailer for Bradley Cooper's 'Hangover III' includes a giraffe, a funeral, and ...","Fri Mar 08 08:13:35 EST 2013","Entertainment","IrishCentral","202"
"6270","Justin Bieber rushed to the hospital after collapsing during London concert","Fri Mar 08 08:13:05 EST 2013","Entertainment","Fox News","430"
"6287","SXSW: DC edition (or how to fake it 'til you make it)","Fri Mar 08 08:28:38 EST 2013","Entertainment","Washington Post (blog)","146"
"6288","Half Cut on 'American Idol' -- Meet Your Top 10!","Fri Mar 08 08:28:45 EST 2013","Entertainment","TooFab.com","459"
"6289","Kelly Osbourne recovering after seizure on set of 'Fashion Police'","Fri Mar 08 08:40:45 EST 2013","Entertainment","Fox News","175"
"6299","'Star Wars VII' Locks In Han Solo, Luke And Leia, Maybe","Fri Mar 08 08:08:59 EST 2013","Entertainment","MTV.com","349"
"6311","The Hangover Part III trailer: will you be having a giraffe?","Fri Mar 08 07:34:45 EST 2013","Entertainment","The Guardian (blog)","202"
"6332","American Idol: The Top 10 are unveiled","Fri Mar 08 08:46:13 EST 2013","Entertainment","Christian Science Monitor","457"
"6333","'Bachelor' Sean Lowe Talks Season Finale: 'You're Going to Be Shocked!","Wed Mar 06 19:30:40 EST 2013","Entertainment","Extra (blog)","-1"
"6346","'American Idol' chatter: Five things we learned backstage after the top 10 reveal","Fri Mar 08 08:53:54 EST 2013","Entertainment","Entertainment Weekly","455"
"6347","LA County Museum of Art set to gobble up Museum of Contemporary Art?","Fri Mar 08 08:52:46 EST 2013","Entertainment","89.3 KPCC","17"
"6359","How Great And Powerful Will 'Oz' Be At The Box Office?","Fri Mar 08 08:58:21 EST 2013","Entertainment","MTV.com","784"
"6360","LACMA Rolls Out the Propaganda for MOCA Takeover","Fri Mar 08 08:18:54 EST 2013","Entertainment","Huffington Post","17"
"6367","George Lucas Says Original 'Star Wars' Cast Negotiating To Return","Fri Mar 08 09:02:51 EST 2013","Entertainment","Forbes","347"
"6368","Joy Behar: Why is she leaving ABC's 'The View'?","Fri Mar 08 09:03:46 EST 2013","Entertainment","Los Angeles Times","70"
"6391","Lil Twist Wrecks Justin Bieber's Fisker -- Then Flees","Thu Mar 07 21:10:10 EST 2013","Entertainment","TMZ.com","16"
"6392","Jessica Simpson Talks Second Pregnancy Surprise: 'Protection Was Thrown Out ...","Wed Mar 06 11:57:41 EST 2013","Entertainment","Access Hollywood","218"
"6396","'The View': Who will replace Joy Behar?","Fri Mar 08 08:59:01 EST 2013","Entertainment","Orlando Sentinel","68"
"6406","Lil Twist Totals Justin Bieber's Car, Flees Scene of Accident","Fri Mar 08 09:17:11 EST 2013","Entertainment","The Hollywood Gossip","16"
"6407","Kim Kardashian's pregnancy scare: She and baby are 'doing fine,' writes sister ...","Fri Mar 08 08:50:30 EST 2013","Entertainment","Zap2it.com (blog)","386"
"6413","Kim Kardashian's Miscarriage Scare Is A 'Wake-Up Call' For Reality Star ...","Fri Mar 08 09:22:43 EST 2013","Entertainment","Huffington Post","386"
"6426","Dirty On The Dos: Justin Bieber Collapes & Tweets Hospital Pic, Chris Brown's ...","Fri Mar 08 08:00:56 EST 2013","Entertainment","New York's 92.3 NOW","17"
"6427","Original 'Star Wars' Cast Signed on for New Films Before Disney Sale","Fri Mar 08 08:45:22 EST 2013","Entertainment","RollingStone.com","347"
"6428","LA's art world presents a super-sized spring","Fri Mar 08 09:33:45 EST 2013","Entertainment","Los Angeles Times","18"
"6447","Kelly Osbourne: Doctors Trying To 'Figure Out Why' Star Had Seizure","Fri Mar 08 08:41:46 EST 2013","Entertainment","Entertainmentwise","197"
"6455","MTV's Hottest MC's In The Game: #2 2 Chainz | Video","Fri Mar 08 09:47:07 EST 2013","Entertainment","stupidDOPE.com","186"
"6465","Joy Behar is leaving 'The View'","Fri Mar 08 09:53:55 EST 2013","Entertainment","CNN (blog)","72"
"6478","SXSW Liveblog — Day 1","Fri Mar 08 10:01:20 EST 2013","Entertainment","Wired","148"
"6479","Oz the Great and Powerful Sequel Moving Forward","Fri Mar 08 09:51:39 EST 2013","Entertainment","E! Online","831"
"6483","Kelly Osbourne Seizure Scare: Doctors 'Trying to Figure Out Why' It Happened","Fri Mar 08 09:52:13 EST 2013","Entertainment","Hollywood Reporter","200"
"6493","Kris Humphries to Kim Kardashian: Don't Blame Me for Miscarriage Scare!","Fri Mar 08 09:56:28 EST 2013","Entertainment","The Hollywood Gossip","391"
"6505","Oz The Great and Powerful","Fri Mar 08 10:13:20 EST 2013","Entertainment","Washington Post","831"
"6520","Lil Twist wrecks Justin Bieber's car and flees","Fri Mar 08 08:37:04 EST 2013","Entertainment","TheCelebrityCafe.com","19"
"6521","Justin Bieber Cleared To Perform After Concert Collapse","Fri Mar 08 10:17:04 EST 2013","Entertainment","MTV.com","471"
"6522","George Lucas: Harrison Ford, Mark Hamill & Carrie Fisher All Signed For Star ...","Fri Mar 08 10:04:19 EST 2013","Entertainment","The Hollywood Gossip","348"
"6523","Kelly Osbourne Thanks Fans For Support Following Seizure & Hospitalization","Fri Mar 08 10:15:51 EST 2013","Entertainment","Access Hollywood","205"
"6531","Lil Twist Crashes Justin Bieber's Fisker Karma Again And 'Flees From Scene'","Fri Mar 08 06:31:37 EST 2013","Entertainment","Entertainmentwise","19"
"6532","'American Idol' Top 10 revealed","Fri Mar 08 10:22:11 EST 2013","Entertainment","CBS News","454"
"6540","Justin Bieber shares shirtless hospital shot","Fri Mar 08 09:10:01 EST 2013","Entertainment","USA TODAY","480"
"6546","'American Idol' Recap: Few Surprises as Top 10 Are Revealed","Fri Mar 08 10:30:34 EST 2013","Entertainment","RollingStone.com","454"
"6569","Lil Twist wrecks Justin Bieber's Fisker Karma - with Chris Brown? - report","Thu Mar 07 21:30:27 EST 2013","Entertainment","Zap2it.com (blog)","19"
"6574","January Jones -- Not Exactly DENYING Liam Hemsworth Affair","Fri Mar 08 09:34:08 EST 2013","Entertainment","TMZ.com","15"
"6575","Kelly Osbourne recovering after on-set seizure","Fri Mar 08 10:42:12 EST 2013","Entertainment","CNN (blog)","209"
"6587","Kim Kardashian, Baby Kimye 'Doing Fine' After Rumored Pregnancy Scare","Fri Mar 08 10:33:39 EST 2013","Entertainment","MTV.com","377"
"6588","Kelly Osbourne rushed to hospital after suffering seizure, says doctors are 'trying ...","Fri Mar 08 10:55:14 EST 2013","Entertainment","New York Daily News","209"
"6594","Justin Bieber FLIPS OUT at Photog -- 'I'll Beat the F**k Out of You'","Fri Mar 08 10:51:12 EST 2013","Entertainment","TMZ.com","493"
"6608","'Emperor' review: Tommy Lee Jones shines in WWII mystery","Fri Mar 08 11:00:11 EST 2013","Entertainment","Fox News","74"
"6611","Disney XD debuts 'Avengers,' 'Hulk' series this summer","Fri Mar 08 11:01:58 EST 2013","Entertainment","USA TODAY","68"
"6612","The Bling Ring Trailer: Come Get Your First Look at Emma Watson Stealing Things","Fri Mar 08 11:03:49 EST 2013","Entertainment","Glamour (blog)","-1"
"6613","American Idol: Lazaro Arbos and Devin Velez Make Top 10","Fri Mar 08 10:48:23 EST 2013","Entertainment","Fox News Latino","474"
"6631","Kim Kardashian health scare: Doctor orders rest","Thu Mar 07 11:51:41 EST 2013","Entertainment","USA TODAY","384"
"6632","Oz, The Great And Often Imitated","Fri Mar 08 11:11:30 EST 2013","Entertainment","NPR","827"
"6641","Emma Watson Breaks Bad In 'Bling Ring' Teaser","Fri Mar 08 10:56:29 EST 2013","Entertainment","MTV.com","24"
"6642","Podcast: SXSW Goes Literary","Fri Mar 08 10:30:37 EST 2013","Entertainment","Publishers Weekly","145"
"6657","LACMA\MOCA: Who Wins, Who Loses?","Fri Mar 08 10:21:35 EST 2013","Entertainment","ARTINFO (blog)","22"
"6658","Lil Twist, Car Accident: Rapper Gets in Alleged Hit-in-Run While Driving Justin ...","Fri Mar 08 11:21:46 EST 2013","Entertainment","AOL Music (blog)","24"
"6659","Justin Bieber Lunges at Paparazzi, Gets Restrained by His Own Bodyguard","Fri Mar 08 11:21:49 EST 2013","Entertainment","E! Online","516"
"6660","PETA On Kim Kardashian Wearing Fur: 'She Is Not A Good Example To A Child ...","Tue Mar 05 09:42:24 EST 2013","Entertainment","Huffington Post","413"
"6664","Bling Ring Teaser Shows Bad Girl Emma Watson","Fri Mar 08 10:24:53 EST 2013","Entertainment","Cinema Blend","27"
"6681","'Oz' faces tornado of criticism as it drops into theaters","Fri Mar 08 11:16:51 EST 2013","Entertainment","Los Angeles Times","834"
"6682","The Hangover 3 Trailer, Plot Details, Release Date: The Wolf Pack Is Back (VIDEO)","Fri Mar 08 11:21:56 EST 2013","Entertainment","Latinos Post","216"
"6691","Is 'Oz the Great and Powerful' too scary for kids?","Fri Mar 08 11:25:05 EST 2013","Entertainment","NBCNews.com (blog)","846"
"6704","Kate Young for Target Looks Revealed, Sofia Coppola's 'Bling Ring' Trailer and ...","Fri Mar 08 11:40:19 EST 2013","Entertainment","StyleBistro","31"
"6705","January Jones refuses to address questions over Liam Hemsworth flirtation... as ...","Fri Mar 08 11:39:23 EST 2013","Entertainment","Daily Mail","-1"
"6712","Lil Twist, Car Accident: Rapper Gets in Alleged Hit-and-Run While Driving Justin ...","Fri Mar 08 11:21:46 EST 2013","Entertainment","AOL Music (blog)","26"
"6735","Six Big Topics at SXSW Interactive","Fri Mar 08 11:35:09 EST 2013","Entertainment","KUT News","149"
"6739","Demi Moore finally files divorce papers against Ashton Kutcher","Thu Mar 07 18:40:22 EST 2013","Entertainment","Ninemsn","-1"
"6744","'Oz the Great and Powerful' skids over the rainbow, reviews say","Fri Mar 08 11:50:20 EST 2013","Entertainment","Los Angeles Times","848"
"6745","Miley Cyrus seen minus engagement ring, 'still wants to wed Hemsworth'","Fri Mar 08 07:51:27 EST 2013","Entertainment","Digital Spy","24"
"6762","Joy Behar's 'The View' Departure: Star's Top Moments","Fri Mar 08 11:47:10 EST 2013","Entertainment","ABC News","84"
"6770","Director worried prudish Selena Gomez would be freaked out by racy art","Fri Mar 08 09:35:58 EST 2013","Entertainment","10News","-1"
"6779","Miley Cyrus Parties With A Sexy Mystery Man","Fri Mar 08 11:32:59 EST 2013","Entertainment","Hollywood Life","27"
"6780","Valerie Harper to discuss cancer on 'The Doctors'","Fri Mar 08 11:20:00 EST 2013","Entertainment","The Associated Press","43"
"6801","Preview: NBC's 'Grimm' returns Friday","Fri Mar 08 11:18:12 EST 2013","Entertainment","Newsday","87"
"6802","Angela Miller makes 'American Idol' Top 10","Fri Mar 08 12:05:59 EST 2013","Entertainment","Boston.com (blog)","468"
"6803","Valerie Harper to discuss brain cancer diagnosis on 'The Doctors'","Fri Mar 08 11:52:54 EST 2013","Entertainment","CBS News","43"
"6804","How to Follow Our Excellent Coverage of SXSW 2013","Fri Mar 08 12:06:33 EST 2013","Entertainment","Film School Rejects","153"
"6805","January Jones Refuses To Comment On Liam Hemsworth Cheating Allegations","Fri Mar 08 10:44:48 EST 2013","Entertainment","Entertainmentwise","29"
"6808","SXSW 2013: This year's hottest films","Fri Mar 08 11:14:10 EST 2013","Entertainment","CBS News","151"
"6817","Justin Bieber Brings Fans Into Hospital Room After Onstage Collapse","Fri Mar 08 12:09:32 EST 2013","Entertainment","MTV.com","555"
"6832","Alec, Hilaria Baldwin expecting baby girl","Fri Mar 08 12:04:33 EST 2013","Entertainment","USA TODAY","33"
"6833","LACMA: MOCA's new old suitor","Fri Mar 08 08:19:06 EST 2013","Entertainment","Los Angeles Times","22"
"6834","Miley Cyrus Spotted Without Engagement Ring (Again!) While Out With Mystery ...","Fri Mar 08 11:31:54 EST 2013","Entertainment","E! Online","32"
"6841","'American Idol' determines Top 10 twelfth-season finalists","Fri Mar 08 12:23:14 EST 2013","Entertainment","Reality TV World","468"
"6856","Justin Bieber's Collapse: Watch Video of the Singer Buckling Onstage During ...","Fri Mar 08 12:30:54 EST 2013","Entertainment","E! Online","569"
"6857","Rod Stewart -- Penny Lancaster TURNED DOWN 'Real Housewives'","Fri Mar 08 11:33:03 EST 2013","Entertainment","TMZ.com","218"
"6864","Kendrick Lamar 'Craaaaaazy' Surprised By 'Hottest MC' Win","Fri Mar 08 08:10:34 EST 2013","Entertainment","MTV.com","199"
"6884","2 Chainz Is 'Headed To The Lab' After #2 Hottest MCs Placement","Fri Mar 08 10:46:57 EST 2013","Entertainment","MTV.com","199"
"6885","Sofia Coppola's 'The Bling Ring' teaser trailer released, Emma Watson gets rowdy","Fri Mar 08 12:31:16 EST 2013","Entertainment","Boston.com (blog)","43"
"6887","Rod Stewart: Penny Lancaster turned down 'Real Housewives'","Fri Mar 08 12:27:05 EST 2013","Entertainment","New York Post","218"
"6889","Chris Brown Tells Crowd at Club in Hollywood: 'F--k Drake!'","Fri Mar 08 12:39:05 EST 2013","Entertainment","E! Online","185"
"6916","Inc. magazine touts Click With Me Now as one to watch at SXSW","Fri Mar 08 12:19:14 EST 2013","Entertainment","St. Louis Business Journal (blog)","151"
"6917","Justin Bieber curses at paparazzi in London","Fri Mar 08 12:51:50 EST 2013","Entertainment","Fox News","587"
"6920","Glee Recap: 500th Performance, Movies, Mash-ups, Confessions","Fri Mar 08 10:26:21 EST 2013","Entertainment","Mstarz","-1"
"6928","Following an “Emperor”","Fri Mar 08 10:18:41 EST 2013","Entertainment","Northwest Asian Weekly","75"
"6931","Chris Brown resurfaces day after 'throwing bodyguard off plane in Bermuda' and ...","Fri Mar 08 03:34:16 EST 2013","Entertainment","Daily Mail","186"
"6940","Sofia Coppola comments on 'The Bling Ring'","Fri Mar 08 12:21:03 EST 2013","Entertainment","The Leaky Cauldron.org","49"
"6941","Kelly Osbourne hospitalized in stable condition following seizure","Fri Mar 08 12:48:24 EST 2013","Entertainment","Reality TV World","224"
"6942","Joy Behar Replacement? Who Should Take Her Spot When She Leaves 'The ...","Fri Mar 08 11:12:34 EST 2013","Entertainment","Huffington Post","90"
"6943","'American Idol' Top 10 Finalists Weigh In: Is This The Girls' Year?","Fri Mar 08 13:07:40 EST 2013","Entertainment","MTV.com","477"
"6954","Nothing very royal about 'Emperor' Jones","Fri Mar 08 03:03:30 EST 2013","Entertainment","Philadelphia Inquirer","75"
"6955","Kim Kardashian Says She Dresses For Kanye West More Than For Herself","Thu Mar 07 11:42:10 EST 2013","Entertainment","Huffington Post","415"
"6966","Kim Kardashian 'Doing Fine' and 'Resting' After Pregnancy Scare, Thanks Fans ...","Fri Mar 08 13:02:40 EST 2013","Entertainment","E! Online","415"
"6967","'The Bling Ring' trailer shows Emma Watson's bad girl side - Watch!","Fri Mar 08 13:09:23 EST 2013","Entertainment","Zap2it.com (blog)","53"
"6980","Justin Bieber -- Fisker Repaired, Another 'Friend' Takes Wheel","Fri Mar 08 13:14:22 EST 2013","Entertainment","TMZ.com","31"
"6990","Watch These Instead:","Thu Mar 07 21:27:42 EST 2013","Entertainment","IGN","-1"
"7002","Emperor","Wed Mar 06 14:51:06 EST 2013","Entertainment","Entertainment Weekly","77"
"7003","Princess Leia et al return to Star Wars 'intergalactic old folks' home'","Fri Mar 08 12:41:31 EST 2013","Entertainment","Telegraph.co.uk","364"
"7022","Osbourne confirms seizure, tweets hospital photo","Fri Mar 08 13:28:00 EST 2013","Entertainment","The Associated Press","229"
"7035","Kelly Osbourne confirms seizure, thanks fans for well wishes and tweets hospital ...","Fri Mar 08 13:33:42 EST 2013","Entertainment","Washington Post","231"
"7048","Bieber 'under the weather', lunges at UK photographer","Fri Mar 08 13:20:42 EST 2013","Entertainment","Reuters","620"
"7053","Justin Bieber 'gettin better': Who had the scariest onstage collapse?","Fri Mar 08 13:43:15 EST 2013","Entertainment","Fox News","620"
"7068","'The View' Losing Joy Behar","Fri Mar 08 13:16:13 EST 2013","Entertainment","Opposing Views","91"
"7084","'American Idol' Season 12, Episode 16 Recap: And your top 10 finalists are...","Fri Mar 08 13:45:13 EST 2013","Entertainment","New York Daily News (blog)","477"
"7088","Sideshow: Handler, Jenner make up","Fri Mar 08 03:05:38 EST 2013","Entertainment","Philadelphia Inquirer","-1"
"7089","Oz The Great And Powerful Makes $2 Million From Midnight Screenings","Fri Mar 08 13:58:10 EST 2013","Entertainment","Cinema Blend","919"
"7101","Mariah Carey Squeezes Into A Lace Mini Dress At 'American Idol' Finalists Party","Fri Mar 08 13:02:24 EST 2013","Entertainment","Starpulse.com","40"
"7104","Review Revue: 'Oz the Great and Powerful,' 'Dead Man Down'","Fri Mar 08 14:06:31 EST 2013","Entertainment","Wall Street Journal (blog)","919"
"7117","Justin Bieber gets more bad news after his Lil Twist 'wrecks his $100000 Fisker ...","Fri Mar 08 03:56:37 EST 2013","Entertainment","Daily Mail","33"
"7126","Mariah Carey's “Almost Home” Video: Watch The Black & White Clip","Fri Mar 08 14:08:48 EST 2013","Entertainment","Idolator: All About The Music","45"
"7127","Lil Twist Crashes Justin Bieber's Fisker Karma In Liquor Store Parking Lot","Fri Mar 08 13:46:39 EST 2013","Entertainment","Contactmusic.com","33"
"7133","Joy Behar To Leave The View After 16 Years","Fri Mar 08 14:16:10 EST 2013","Entertainment","Contactmusic.com","91"
"7139","Mariah Carey visits a black and white 'Oz' in 'Almost Home' video: Watch","Fri Mar 08 14:29:50 EST 2013","Entertainment","HitFix","47"
"7143","Justin Bieber gets in scuffle with press photographer, makes it out alive","Fri Mar 08 14:44:07 EST 2013","Entertainment","Entertainment Weekly","652"
"7149","Joy Behar Is Leaving 'The View' After 16 Year Run","Fri Mar 08 14:33:59 EST 2013","Entertainment","Haute Living","93"
"7170","Lucas Confirms Star Wars Stars To Return In 'Episode Vii'","Fri Mar 08 13:50:38 EST 2013","Entertainment","Contactmusic.com","364"
"7177","Kourtney Kardashian Weighed 95 Pounds At One Point In Her Life! That's Cray!!","Fri Mar 08 14:38:00 EST 2013","Entertainment","PerezHilton.com","49"
"7178","Danielle Fishel MILFs Out On The Cover Of Maxim [Photos]","Fri Mar 08 14:07:52 EST 2013","Entertainment","MTV.com","15"
"7179","Kelly Osbourne seizure on E! show prompts tweet from hospital","Fri Mar 08 14:47:08 EST 2013","Entertainment","Los Angeles Times","244"
"7180","Is 'Oz the Great and Powerful' getting a sequel?","Fri Mar 08 14:47:58 EST 2013","Entertainment","CNN (blog)","926"
"7193","Elisabeth Hasselbeck Leaving The View After Nine Years, Viewers Found Her ...","Fri Mar 08 14:26:09 EST 2013","Entertainment","Us Magazine","94"
"7199","Elisabeth Hasselbeck Leaving 'The View'? Us Weekly Reports Co-Host Is Being ...","Fri Mar 08 14:57:16 EST 2013","Entertainment","Huffington Post","97"
"7213","Emma Watson steals in 'The Bling Ring,' watch trailer here","Fri Mar 08 14:56:35 EST 2013","Entertainment","CBS News","69"
"7214","Holly Madison Calls Motherhood the 'Best Project in the World'","Fri Mar 08 15:01:05 EST 2013","Entertainment","People Magazine","17"
"7225","Danielle Fishel 'Maxim' Cover Story: 'Boy Meets World' Actress Shares Bob ...","Fri Mar 08 14:52:33 EST 2013","Entertainment","Huffington Post","18"
"7236","Sarah Jessica Parker has permanent foot damage","Fri Mar 08 15:10:26 EST 2013","Entertainment","USA TODAY","19"
"7245","'Oz the Great and Powerful' not so great, and other new movies","Fri Mar 08 15:18:28 EST 2013","Entertainment","Washington Post (blog)","944"
"7256","Sarah Jessica Parker Talks 'Girls,' AnnaSophia Robb And 'The Carrie Diaries'","Fri Mar 08 14:37:58 EST 2013","Entertainment","Huffington Post","19"
"7263","'Boy Meets World' star Danielle Fishel poses for Maxim to promote her upcoming ...","Fri Mar 08 13:51:13 EST 2013","Entertainment","Entertainment Weekly","21"
